r_km,xi,xi_err,n_rr
1.0,295.78790081674157,43.290964629311986,47
2.0,373.6943047718394,40.1714460878222,87
3.0,403.7413852068272,38.76719374679183,109
4.0,284.6464647408882,20.40331891006344,196
5.0,278.73331102856577,18.445068305058662,230
6.0,293.3632562952633,18.580043985121435,251
7.0,249.9818825692799,13.98667349070054,322
8.0,217.34770313266537,11.128029365841934,385
9.0,231.92728045917252,12.028313041276792,375
10.0,206.72449930061447,9.72759093814335,456
11.0,206.04226207496816,9.411011912498553,484
12.0,185.13927573785708,7.9083000282062095,554
13.0,171.68748905056736,7.133654419949083,586
14.0,164.1721620180306,6.409923019117302,664
15.0,166.0960574073174,6.615396262755172,638
16.0,158.85937832907695,5.982586874751433,714
17.0,155.7282460151956,5.792842660691693,732
18.0,154.99288956863646,5.658456828403977,760
19.0,132.5919057768576,4.606617440581297,841
20.0,135.3244809897472,4.681401897191003,848
21.0,128.8322193069432,4.386624175313045,876
22.0,114.35780892570727,3.7348469640683364,954
23.0,109.37366055784965,3.442459891136154,1028
24.0,106.1455897687802,3.349935790648235,1023
25.0,103.60467364329143,3.181546256879176,1081
26.0,95.61468590716375,2.90907816165628,1103
27.0,87.71320857974398,2.5705875887097323,1191
28.0,84.65027134919667,2.5018711397315587,1172
29.0,80.76650297700495,2.2765676954928606,1290
30.0,72.54500584414119,2.043705447766746,1295
