r_km,xi_cw,xi_cw_err,n_rr
1.0,303.6135873353025,56.56532311355392,29
2.0,480.9659780200103,73.49912259700714,43
3.0,307.68626849570063,32.35911345683138,91
4.0,376.0098294186309,38.88559481107794,94
5.0,256.44597187668353,20.41679362335526,159
6.0,294.31366032893266,23.419896660808945,159
7.0,255.77290664100093,18.156586351083202,200
8.0,248.23368083977223,17.037263676262477,214
9.0,221.37720885466794,14.064369593834288,250
10.0,225.81511613125826,13.933141826355751,265
11.0,210.05544239765425,12.165033460233603,301
12.0,183.68413561252018,9.802016168998412,355
13.0,172.81226751294122,9.036069514165908,370
14.0,169.01153544761632,8.406529390555248,409
15.0,171.3126043487655,8.70310078706619,392
16.0,158.83174265326284,7.501275362867098,454
17.0,150.7459095283927,6.926221471486567,480
18.0,149.77707291387392,6.749708776687442,499
19.0,135.1517827623449,5.947818246054656,524
20.0,131.56298926696383,5.632061732288217,554
21.0,129.89810087737652,5.571393161789213,552
22.0,123.117608644738,5.230933537732842,563
23.0,115.7662242244522,4.700831182691049,617
24.0,101.04856003844218,3.9047796303779863,683
25.0,103.92156270417232,4.0088468444572305,685
26.0,91.5977780608125,3.4201769701624887,733
27.0,88.12145529641977,3.243461848159446,755
28.0,82.79921308141485,3.0377191009841673,761
29.0,84.00264311154322,3.0280937814362816,788
30.0,72.53293401982863,2.561641138467092,824
